year,month,day,freq
2017,12,12,1992
2017,12,11,1990
2017,11,1,1770
2017,12,28,1601
2017,10,14,884
2017,12,29,1478
2017,12,27,1541
2017,11,28,2501
2017,10,12,2491
2017,12,7,2135
2017,12,3,587
2017,11,29,2784
2017,11,27,1752
2017,12,22,2610
2017,12,25,1393
2017,12,5,1963
2017,10,8,814
2017,12,30,620
2017,11,5,793
2017,12,18,1555
2017,12,20,2496
2017,12,9,1165
2017,4,25,1396
2017,3,7,1589
2017,3,8,1708
2017,4,3,2178
2017,1,31,2291
2017,1,26,1360
2017,2,9,2403
2017,2,1,2583
2017,4,4,1604
2017,3,27,1350
2017,3,25,817
2017,4,13,1690
2017,3,26,786
2017,3,16,1728
2017,2,7,3009
2017,3,1,1525
2017,2,6,3241
2017,4,1,1144
2017,3,28,2086
2017,2,24,1131
2017,3,31,2670
2017,2,14,1506
2017,2,5,1217
2017,3,10,7987
2017,4,17,1353
2017,4,20,1251
2017,2,19,2105
2017,2,18,3637
2017,4,24,2091
2017,6,7,1631
2017,1,27,1437
2017,3,21,1839
2017,1,16,959
2017,1,30,1754
2017,1,17,1182
2017,1,19,1122
2017,2,27,967
2017,1,10,2139
2017,1,18,1343
2017,3,19,879
2017,2,4,2191
2017,1,1,5814
2017,1,24,2379
2017,3,15,2119
2017,1,28,782
2017,2,10,2357
2017,1,6,3720
2017,1,12,1205
2017,1,14,377
2017,2,15,1069
2017,3,3,27934
2017,3,14,2122
2017,1,11,1644
2017,3,13,1885
2017,1,4,2270
2017,2,26,633
2017,2,23,864
2017,1,5,1908
2017,2,8,2024
2017,1,3,1771
2017,2,17,1453
2017,1,25,1584
2017,3,6,1255
2017,6,22,1984
2017,6,21,1333
2017,6,15,893
2017,8,4,1207
2017,8,5,929
2017,7,24,940
2017,7,31,1321
2017,6,26,1320
2017,7,5,1184
2017,6,29,878
2017,7,11,1187
2017,8,3,1266
2017,6,24,550
2017,7,7,1111
2017,7,12,1390
2017,7,28,1344
2017,8,2,1785
2017,7,19,837
2017,7,4,1500
2017,7,26,1466
2017,7,27,1173
2017,7,8,502
2017,6,23,1925
2017,6,25,513
2017,7,16,343
2017,7,6,1681
2017,7,20,1004
2017,6,17,692
2017,7,14,960
2017,6,16,1845
2017,7,2,1104
2017,7,1,566
2017,7,23,300
2017,7,13,1155
2017,7,17,783
2017,7,21,977
2017,9,22,2190
2017,8,1,1403
2017,8,21,1342
2017,8,6,981
2017,8,30,1924
2017,12,24,1085
2017,12,31,2925
2017,5,24,1267
2017,7,9,462
2017,5,23,1122
2017,5,27,711
2017,5,26,1186
2017,7,29,522
2017,5,28,508
2017,5,29,1210
2017,6,20,1169
2017,6,14,1097
2017,6,19,898
2017,5,25,1285
2017,5,30,1641
2017,8,17,1657
2017,6,5,1266
2017,8,11,1044
2017,6,1,1812
2017,8,8,1655
2017,7,10,733
2017,5,13,1563
2017,5,16,1283
2017,5,1,1158
2017,5,4,1881
2017,5,10,1083
2017,5,31,2440
2017,5,17,1587
2017,11,19,1060
2017,9,9,3375
2017,9,5,1588
2017,4,6,1757
2017,5,5,1804
2017,5,2,1710
2017,5,3,2522
2017,4,14,1173
2017,4,11,1663
2017,4,10,1982
2017,4,12,1968
2017,5,11,1240
2017,5,12,1429
2017,5,8,1937
2017,5,9,1262
2017,4,27,1620
2017,4,26,1857
2017,4,28,2997
2017,4,19,1383
2017,4,18,1205
2017,4,21,1522
2017,5,18,1258
2017,5,15,1201
2017,4,5,1656
2017,4,7,2038
2017,3,30,1897
2017,3,29,2194
2017,5,22,1024
2017,3,20,1850
2017,3,22,1928
2017,3,23,1608
2017,5,19,1205
2017,8,10,1221
2017,8,7,1996
2017,8,18,1386
2017,8,25,1010
2017,7,25,1141
2017,8,9,1508
2017,12,17,856
2017,6,13,1491
2017,4,2,390
2017,3,24,1227
2017,6,6,1264
2017,5,20,422
2017,5,14,973
2017,6,12,1260
2017,6,11,554
2017,6,4,429
2017,6,8,1265
2017,6,9,1289
2017,6,10,870
2017,6,2,1313
2017,6,3,622
2017,6,18,299
2017,4,8,1923
2017,8,14,2301
2017,8,22,1282
2017,8,16,1185
2017,8,15,1628
2017,9,25,2088
2017,6,30,859
2017,7,3,1256
2017,4,30,501
2017,4,15,449
2017,5,6,406
2017,5,7,427
2017,4,29,917
2017,4,23,549
2017,4,22,614
2017,4,16,650
2017,6,27,494
2017,6,28,950
2017,2,2,2334
2017,2,3,2027
2017,1,23,3151
2017,1,20,9436
2017,1,22,847
2017,1,9,2703
2017,1,15,380
2017,8,23,1848
2017,7,22,268
2017,8,13,783
2017,8,20,926
2017,8,19,1468
2017,9,23,672
2017,4,9,1089
2017,3,17,2235
2017,2,22,1387
2017,2,28,1175
2017,3,11,663
2017,1,8,1680
2017,3,18,1142
2017,2,21,1519
2017,2,12,1186
2017,1,2,1785
2017,3,9,1486
2017,5,21,420
2017,7,30,612
2017,7,15,383
2017,7,18,927
2017,1,13,900
2017,3,5,519
2017,1,29,896
2017,2,25,902
2017,2,11,1414
2017,3,2,2251
2017,1,7,1802
2017,3,4,642
2017,3,12,689
2017,2,20,1207
2017,2,16,1860
2017,2,13,1502
2017,1,21,690
2017,8,27,645
2017,8,26,734
2017,8,12,649
2019,10,4,923
2019,11,11,1310
2019,11,13,931
2019,12,31,1735
2019,11,27,1462
2019,10,8,3621
2019,12,27,897
2019,12,2,1285
2019,10,15,1717
2019,11,19,1123
2019,11,10,797
2019,12,23,957
2019,11,30,1102
2019,12,11,1106
2019,11,29,3401
2019,12,5,7050
2019,12,1,594
2019,12,16,1441
2019,10,19,919
2019,12,14,732
2019,12,10,1080
2019,10,16,2601
2019,11,14,1383
2019,10,23,1290
2019,10,9,1258
2019,10,22,1864
2019,10,10,1389
2019,10,12,921
2019,10,14,1164
2019,10,13,741
2019,10,21,1182
2019,10,20,518
2019,10,17,3727
2019,12,26,1087
2019,12,24,1337
2019,11,21,1084
2019,12,15,839
2019,11,25,2108
2019,12,9,1591
2019,11,1,1042
2019,10,18,814
2019,11,15,1008
2019,12,18,1840
2019,11,16,505
2019,10,28,1491
2019,10,11,1828
2019,12,19,1124
2019,10,29,1099
2019,11,28,1120
2019,12,13,1038
2019,12,12,1304
2020,1,1,766
2019,12,25,5887
2019,11,22,1861
2019,12,21,569
2019,12,4,1091
2019,11,23,2041
2019,11,26,1399
2019,10,30,1490
2019,11,12,1198
2019,10,25,1692
2019,12,6,1170
2019,10,3,1342
2019,11,8,1290
2019,11,4,1565
2019,12,30,1240
2019,11,20,1383
2019,12,17,1167
2019,12,20,1489
2019,12,22,516
2019,10,31,900
2019,12,7,965
2019,11,5,1684
2019,10,26,1255
2019,10,27,461
2019,10,24,1044
2019,11,6,1964
2019,11,24,824
2019,11,9,825
2019,8,8,1160
2019,7,27,627
2019,8,9,1215
2019,8,7,1044
2019,8,6,1304
2019,8,5,1043
2019,8,28,894
2019,7,16,716
2019,7,18,986
2019,7,17,789
2019,7,19,778
2019,7,15,1344
2019,7,29,801
2019,8,13,1253
2019,8,14,1372
2019,8,15,948
2019,8,12,879
2019,8,16,1656
2019,8,27,1030
2019,8,26,1236
2019,7,25,879
2019,7,23,1026
2019,8,22,1685
2019,8,21,815
2019,8,23,817
2019,8,19,1101
2019,8,20,921
2019,7,10,915
2019,7,9,1005
2019,7,11,752
2019,7,12,867
2019,7,8,947
2019,7,3,954
2019,7,2,1058
2019,7,4,583
2019,7,5,977
2019,6,17,1005
2019,6,21,791
2019,6,29,376
2019,5,1,720
2019,6,30,435
2019,5,17,983
2019,5,8,732
2019,6,11,1264
2019,6,6,682
2019,5,16,1168
2019,6,20,930
2019,6,24,731
2019,6,26,753
2019,5,31,782
2019,6,2,335
2019,5,3,767
